location,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,latest_day
Algeria,DZA,2021-01-29,0,NA,NA,NA,NA,0,NA,NA,NA,2021-02-19
Algeria,DZA,2021-01-30,30,NA,NA,30,30,0,NA,NA,1,2021-02-19
Algeria,DZA,2021-01-31,NA,NA,NA,NA,1889,NA,NA,NA,43,2021-02-19
Algeria,DZA,2021-02-01,NA,NA,NA,NA,2509,NA,NA,NA,57,2021-02-19
Algeria,DZA,2021-02-02,NA,NA,NA,NA,2819,NA,NA,NA,64,2021-02-19
Algeria,DZA,2021-02-03,NA,NA,NA,NA,3005,NA,NA,NA,69,2021-02-19
Algeria,DZA,2021-02-04,NA,NA,NA,NA,3129,NA,NA,NA,71,2021-02-19
Algeria,DZA,2021-02-05,NA,NA,NA,NA,3217,NA,NA,NA,73,2021-02-19
Algeria,DZA,2021-02-06,NA,NA,NA,NA,3748,NA,NA,NA,85,2021-02-19
Algeria,DZA,2021-02-07,NA,NA,NA,NA,3748,NA,NA,NA,85,2021-02-19
Algeria,DZA,2021-02-08,NA,NA,NA,NA,3748,NA,NA,NA,85,2021-02-19
Algeria,DZA,2021-02-09,NA,NA,NA,NA,3748,NA,NA,NA,85,2021-02-19
Algeria,DZA,2021-02-10,NA,NA,NA,NA,3748,NA,NA,NA,85,2021-02-19
Algeria,DZA,2021-02-11,NA,NA,NA,NA,3748,NA,NA,NA,85,2021-02-19
Algeria,DZA,2021-02-12,NA,NA,NA,NA,3748,NA,NA,NA,85,2021-02-19
Algeria,DZA,2021-02-13,NA,NA,NA,NA,3748,NA,NA,NA,85,2021-02-19
Algeria,DZA,2021-02-14,NA,NA,NA,NA,3748,NA,NA,NA,85,2021-02-19
Algeria,DZA,2021-02-15,NA,NA,NA,NA,3748,NA,NA,NA,85,2021-02-19
Algeria,DZA,2021-02-16,NA,NA,NA,NA,3748,NA,NA,NA,85,2021-02-19
Algeria,DZA,2021-02-17,NA,NA,NA,NA,3748,NA,NA,NA,85,2021-02-19
Algeria,DZA,2021-02-18,NA,NA,NA,NA,3748,NA,NA,NA,85,2021-02-19
Algeria,DZA,2021-02-19,75000,NA,NA,NA,3748,0.17,NA,NA,85,2021-02-19
Angola,AGO,2021-03-01,0,0,NA,NA,NA,0,0,NA,NA,2021-04-23
Angola,AGO,2021-03-02,NA,NA,NA,NA,881,NA,NA,NA,27,2021-04-23
Angola,AGO,2021-03-03,NA,NA,NA,NA,881,NA,NA,NA,27,2021-04-23
Angola,AGO,2021-03-04,NA,NA,NA,NA,881,NA,NA,NA,27,2021-04-23
Angola,AGO,2021-03-05,NA,NA,NA,NA,881,NA,NA,NA,27,2021-04-23
Angola,AGO,2021-03-06,NA,NA,NA,NA,881,NA,NA,NA,27,2021-04-23
Angola,AGO,2021-03-07,NA,NA,NA,NA,881,NA,NA,NA,27,2021-04-23
Angola,AGO,2021-03-08,6169,6169,NA,NA,881,0.02,0.02,NA,27,2021-04-23
Angola,AGO,2021-03-09,NA,NA,NA,NA,1367,NA,NA,NA,42,2021-04-23
Angola,AGO,2021-03-10,NA,NA,NA,NA,1853,NA,NA,NA,56,2021-04-23
Angola,AGO,2021-03-11,NA,NA,NA,NA,2339,NA,NA,NA,71,2021-04-23
Angola,AGO,2021-03-12,NA,NA,NA,NA,2825,NA,NA,NA,86,2021-04-23
Angola,AGO,2021-03-13,NA,NA,NA,NA,3311,NA,NA,NA,101,2021-04-23
Angola,AGO,2021-03-14,NA,NA,NA,NA,3797,NA,NA,NA,116,2021-04-23
Angola,AGO,2021-03-15,NA,NA,NA,NA,4283,NA,NA,NA,130,2021-04-23
Angola,AGO,2021-03-16,NA,NA,NA,NA,4283,NA,NA,NA,130,2021-04-23
Angola,AGO,2021-03-17,NA,NA,NA,NA,4283,NA,NA,NA,130,2021-04-23
Angola,AGO,2021-03-18,49000,49000,NA,NA,4283,0.15,0.15,NA,130,2021-04-23
